feature,statistic,comparison,n_occupied,n_comparison,proteins_occupied,proteins_comparison,mean_occupied,mean_comparison,estimate,ci_low,ci_high,p,n_boot,family,q
plus2_ss_coarse==helix,mean_difference,internal_control,317,31,232,24,0.17350157728706625,0.0967741935483871,0.07672738373867916,-0.03815939226762399,0.17468955588022525,0.208,2000,confirmatory,0.432
plus2_ss_coarse==sheet,mean_difference,internal_control,317,31,232,24,0.277602523659306,0.06451612903225806,0.21308639462704793,0.10376340191248914,0.29939706566276164,0.002,2000,confirmatory,0.027
aromatic_within_8a==True,mean_difference,internal_control,318,31,233,24,0.5377358490566038,0.5483870967741935,-0.01065124771758974,-0.21118627744561624,0.18434350456736437,0.912,2000,confirmatory,0.9470769230769231
n_rsa,smd,secretory_unannotated,318,2207,233,1098,0.43757893081761007,0.32172238332578157,0.5718494264231062,0.4641939355835931,0.6895800660584318,0.0005,2000,confirmatory,0.0010384615384615384
plus1_rsa,smd,secretory_unannotated,318,2207,233,1098,0.2220191823899371,0.2700443588581785,-0.2209660518073857,-0.3586172740600452,-0.09059005107754449,0.002,2000,confirmatory,0.003857142857142857
plus2_rsa,smd,secretory_unannotated,318,2207,233,1098,0.31667169811320756,0.2888932487539646,0.12319058550562,-0.0033472973423689903,0.2526460416917853,0.053,2000,confirmatory,0.07531578947368421
loop_run_length,smd,secretory_unannotated,204,1354,157,821,7.504901960784314,8.087887740029542,-0.09598414131279037,-0.24437643187810262,0.06213089035346427,0.223,2000,confirmatory,0.2736818181818182
n_neighbours_8a,smd,secretory_unannotated,318,2207,233,1098,8.757861635220126,9.045310376076122,-0.11476484926161468,-0.23168259053515391,0.000778164432224368,0.053,2000,confirmatory,0.07531578947368421
nd2_atoms_8a_same_chain,smd,secretory_unannotated,316,2111,232,1072,42.44303797468354,54.891046897205115,-0.5870569122282457,-0.6964947950775037,-0.4818767787573878,0.0005,2000,confirmatory,0.0010384615384615384
nd2_residues_8a_same_chain,smd,secretory_unannotated,316,2111,232,1072,9.55379746835443,12.020843202273804,-0.534457294971272,-0.6419514340426272,-0.4290088753117607,0.0005,2000,confirmatory,0.0010384615384615384
nd2_atoms_8a_other_chain,smd,secretory_unannotated,316,2111,232,1072,1.4525316455696202,5.6541923259118905,-0.399270615514547,-0.488032987461999,-0.30477140668422636,0.0005,2000,confirmatory,0.0010384615384615384
sidechain_neighbour_residues_5a,smd,secretory_unannotated,317,2181,232,1094,5.018927444794953,5.702888583218707,-0.3581608547780511,-0.47277720883110186,-0.24114200389201002,0.0005,2000,confirmatory,0.0010384615384615384
neighbour_net_charge_8a,smd,secretory_unannotated,318,2207,233,1098,-0.025157232704402517,-0.012686905301314002,-0.010817879882569666,-0.11498872108092212,0.09600106757133049,0.837,2000,confirmatory,0.837
neighbour_hydrophobic_fraction_8a,smd,secretory_unannotated,318,2207,233,1098,0.2831185534591195,0.2802808337109198,0.01712157240529942,-0.11937457263748637,0.1613253643004632,0.829,2000,confirmatory,0.837
neighbour_aromatic_fraction_8a,smd,secretory_unannotated,318,2207,233,1098,0.08487201257861635,0.09952356139555958,-0.1466102513151286,-0.27145689018018837,-0.028733172489731985,0.013,2000,confirmatory,0.023399999999999997
nearest_aromatic_sidechain_nd2,smd,secretory_unannotated,314,2087,231,1060,8.428025477707006,7.243977000479156,0.3931258730468284,0.27406026361820945,0.5158207467758723,0.0005,2000,confirmatory,0.0010384615384615384
uniprot_residues_after_asn,smd,secretory_unannotated,318,2207,233,1098,299.8207547169811,343.7145446307204,-0.11540975286030186,-0.22795497229238587,0.02556302421889394,0.097,2000,confirmatory,0.12471428571428572
uniprot_residues_after_sequon,smd,secretory_unannotated,318,2207,233,1098,297.8207547169811,341.7145446307204,-0.11540975286030186,-0.22795497229238587,0.02556302421889394,0.097,2000,confirmatory,0.12471428571428572
distance_to_n_terminus_resolved,smd,secretory_unannotated,318,2207,233,1098,149.19811320754718,257.3081105573176,-0.4537226067305218,-0.5534372666614099,-0.3541227859825945,0.0005,2000,confirmatory,0.0010384615384615384
distance_to_c_terminus_resolved,smd,secretory_unannotated,318,2207,233,1098,204.66352201257862,241.52831898504758,-0.16533785346771632,-0.283130240925477,-0.029322239390307734,0.023,2000,confirmatory,0.0388125
n_ss_coarse==loop,mean_difference,secretory_unannotated,317,2189,232,1096,0.6435331230283912,0.6185472818638648,0.0249858411645264,-0.03281094911548673,0.08124219172331398,0.387,2000,confirmatory,0.435375
n_ss_coarse==helix,mean_difference,secretory_unannotated,317,2189,232,1096,0.11987381703470032,0.27638190954773867,-0.15650809251303835,-0.19941032339728185,-0.10984933935551798,0.0005,2000,confirmatory,0.0010384615384615384
n_ss_coarse==sheet,mean_difference,secretory_unannotated,317,2189,232,1096,0.2334384858044164,0.10004568296025583,0.13339280284416055,0.08532314343717368,0.18491643097877913,0.0005,2000,confirmatory,0.0010384615384615384
plus1_ss_coarse==loop,mean_difference,secretory_unannotated,317,2190,232,1096,0.5962145110410094,0.5666666666666667,0.02954784437434277,-0.031925381043994346,0.08934583001145696,0.333,2000,confirmatory,0.39091304347826084
plus1_ss_coarse==helix,mean_difference,secretory_unannotated,317,2190,232,1096,0.17981072555205047,0.32054794520547947,-0.140737219653429,-0.18825640728830031,-0.08850119354894363,0.0005,2000,confirmatory,0.0010384615384615384
plus1_ss_coarse==sheet,mean_difference,secretory_unannotated,317,2190,232,1096,0.22397476340694006,0.10365296803652968,0.12032179537041038,0.07270831440440134,0.16928738771916094,0.0005,2000,confirmatory,0.0010384615384615384
plus2_ss_coarse==loop,mean_difference,secretory_unannotated,317,2190,232,1096,0.5425867507886435,0.5237442922374429,0.01884245855120059,-0.04630899178634986,0.08545940008128793,0.556,2000,confirmatory,0.60048
plus2_ss_coarse==helix,mean_difference,secretory_unannotated,317,2190,232,1096,0.17350157728706625,0.3360730593607306,-0.16257148207366437,-0.21052924119847058,-0.1084694245209482,0.0005,2000,confirmatory,0.0010384615384615384
plus2_ss_coarse==sheet,mean_difference,secretory_unannotated,317,2190,232,1096,0.277602523659306,0.12374429223744292,0.15385823142186306,0.0988313465658601,0.20712920369281013,0.0005,2000,confirmatory,0.0010384615384615384
